DATABASE_ID,MOLECULAR_WEIGHT,DRUG_GROUPS,GENERIC_NAME,SMILES,drug,Property,Value,Probability
DB01114,274.788,approved,Chlorpheniramine,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,DB01114,Blood Brain Barrier,+,0.962
DB00304,310.473,approved,Desogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],DB00304,Blood Brain Barrier,+,0.9619
DB01050,206.2808,approved,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,DB01050,Blood Brain Barrier,+,0.9619
DB00603,386.5244,approved,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,DB00603,Blood Brain Barrier,+,0.9617
DB00351,384.516,approved,Megestrol acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,DB00351,Blood Brain Barrier,+,0.9617
DB00363,326.823,approved,Clozapine,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,DB00363,Blood Brain Barrier,+,0.9614
DB03088,129.114,approved,Pidolic acid,OC(=O)[C@@H]1CCC(=O)N1,DB03088,Blood Brain Barrier,+,0.9612
DB01708,288.4244,approved,Prasterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C,DB01708,Blood Brain Barrier,+,0.9611
DB00815,288.379,approved,Sodium lauryl sulfate,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,DB00815,Blood Brain Barrier,+,0.9611
DB01086,165.1891,approved,Benzocaine,CCOC(=O)C1=CC=C(N)C=C1,DB01086,Blood Brain Barrier,+,0.9609
DB08909,530.6512,approved,Glycerol phenylbutyrate,O=C(CCCC1=CC=CC=C1)OCC(COC(=O)CCCC1=CC=CC=C1)OC(=O)CCCC1=CC=CC=C1,DB08909,Blood Brain Barrier,+,0.9607
DB01231,309.4452,approved,Diphenidol,OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,DB01231,Blood Brain Barrier,+,0.9606
DB00130,146.1445,approved,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,DB00130,Blood Brain Barrier,+,0.9604
DB00450,379.4274,approved,Droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,DB00450,Blood Brain Barrier,+,0.9602
DB00258,158.166,approved,Calcium acetate,[Ca++].CC([O-])=O.CC([O-])=O,DB00258,Blood Brain Barrier,+,0.9601
DB01336,652.8189,approved,Metocurine,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,DB01336,Blood Brain Barrier,+,0.9597
DB05294,475.354,approved,Vandetanib,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,DB05294,Blood Brain Barrier,+,0.9596
DB06709,160.234,approved,Methacholine,CC(C[N+](C)(C)C)OC(C)=O,DB06709,Blood Brain Barrier,+,0.9595
DB01081,452.5873,approved,Diphenoxylate,CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,DB01081,Blood Brain Barrier,+,0.9592
DB00169,384.6377,approved,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DB00169,Blood Brain Barrier,+,0.959
DB00191,149.2328,approved,Phentermine,CC(C)(N)CC1=CC=CC=C1,DB00191,Blood Brain Barrier,+,0.959
DB01084,302.4145,approved,Emedastine,CCOCCN1C(=NC2=CC=CC=C12)N1CCCN(C)CC1,DB01084,Blood Brain Barrier,+,0.959
DB01400,223.2915,approved,Neostigmine,CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C,DB01400,Blood Brain Barrier,+,0.9583
DB01154,254.349,approved,Thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,DB01154,Blood Brain Barrier,+,0.9582
DB04948,259.132,approved,Lofexidine,CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,DB04948,Blood Brain Barrier,+,0.9582
DB01219,314.253,approved,Dantrolene,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O,DB01219,Blood Brain Barrier,+,0.9581
DB00698,238.159,approved,Nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,DB00698,Blood Brain Barrier,+,0.958
DB00632,326.6,approved,Docosanol,CCCCCCCCCCCCCCCCCCCCCCO,DB00632,Blood Brain Barrier,+,0.9579
DB08799,265.3529,approved,Antazoline,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,DB08799,Blood Brain Barrier,+,0.9578
DB00835,319.239,approved,Brompheniramine,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,DB00835,Blood Brain Barrier,+,0.9576
DB00405,319.239,approved,Dexbrompheniramine,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,DB00405,Blood Brain Barrier,+,0.9576
DB00486,372.5408,approved,Nabilone,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,DB00486,Blood Brain Barrier,+,0.9575
DB00473,261.3593,approved,Hexylcaine,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,DB00473,Blood Brain Barrier,+,0.9571
DB00572,289.3694,approved,Atropine,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,DB00572,Blood Brain Barrier,+,0.9569
DB00424,289.3694,approved,Hyoscyamine,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,DB00424,Blood Brain Barrier,+,0.9569
DB08895,312.3696,approved,Tofacitinib,[H][C@@]1(C)CCN(C[C@]1([H])N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,DB08895,Blood Brain Barrier,+,0.9568
DB01626,159.2276,approved,Pargyline,CN(CC#C)CC1=CC=CC=C1,DB01626,Blood Brain Barrier,+,0.9568
DB01018,246.093,approved,Guanfacine,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,DB01018,Blood Brain Barrier,+,0.9567
DB01576,135.2062,approved,Dextroamphetamine,C[C@H](N)CC1=CC=CC=C1,DB01576,Blood Brain Barrier,+,0.9565
DB00182,135.2062,approved,Amphetamine,CC(N)CC1=CC=CC=C1,DB00182,Blood Brain Barrier,+,0.9565
DB00883,236.1363,approved,Isosorbide dinitrate,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,DB00883,Blood Brain Barrier,+,0.9559
DB03793,122.123,approved,Benzoic acid,OC(=O)C1=CC=CC=C1,DB03793,Blood Brain Barrier,+,0.9557
DB01563,165.403,approved,Chloral hydrate,OC(O)C(Cl)(Cl)Cl,DB01563,Blood Brain Barrier,+,0.9555
DB00891,249.289,approved,Sulfapyridine,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,DB00891,Blood Brain Barrier,+,0.9552
DB00748,290.788,approved,Carbinoxamine,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,DB00748,Blood Brain Barrier,+,0.955
DB00724,240.3036,approved,Imiquimod,CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N,DB00724,Blood Brain Barrier,+,0.955
DB01169,197.84,approved,Arsenic trioxide,O=[As]O[As]=O,DB01169,Blood Brain Barrier,+,0.9549
DB00316,151.1626,approved,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,DB00316,Blood Brain Barrier,+,0.9544
DB00733,137.1592,approved,Pralidoxime,C[N+]1=C(\C=N\O)C=CC=C1,DB00733,Blood Brain Barrier,+,0.9544
DB06637,94.1145,approved,Dalfampridine,NC1=CC=NC=C1,DB06637,Blood Brain Barrier,+,0.9544
DB00984,406.5571,approved,Nandrolone phenpropionate,[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00984,Blood Brain Barrier,+,0.9543
DB00586,296.149,approved,Diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,DB00586,Blood Brain Barrier,+,0.9541
DB01161,270.755,approved,Chloroprocaine,CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1,DB01161,Blood Brain Barrier,+,0.954
DB00898,46.0684,approved,Ethanol,CCO,DB00898,Blood Brain Barrier,+,0.9539
DB04224,282.4614,approved,Oleic Acid,CCCCCCCC\C=C\CCCCCCCC(O)=O,DB04224,Blood Brain Barrier,+,0.9539
DB00621,306.4397,approved,Oxandrolone,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C,DB00621,Blood Brain Barrier,+,0.9537
DB00680,427.517,approved,Moricizine,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1,DB00680,Blood Brain Barrier,+,0.9535
DB05389,319.821,approved,Tetrachlorodecaoxide,O.O=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O,DB05389,Blood Brain Barrier,+,0.9535
DB00262,214.05,approved,Carmustine,ClCCNC(=O)N(CCCl)N=O,DB00262,Blood Brain Barrier,+,0.9533
DB01222,430.5339,approved,Budesonide,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB01222,Blood Brain Barrier,+,0.9533
DB00721,236.3101,approved,Procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,DB00721,Blood Brain Barrier,+,0.9533
DB00655,270.3661,approved,Estrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,DB00655,Blood Brain Barrier,+,0.9529
DB00620,394.4339,approved,Triamcinolone,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DB00620,Blood Brain Barrier,+,0.9528
DB01237,334.251,approved,Bromodiphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1,DB01237,Blood Brain Barrier,+,0.9525
DB00464,316.43,approved,Sodium tetradecyl sulfate,[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,DB00464,Blood Brain Barrier,+,0.9525
DB01427,187.198,approved,Amrinone,NC1=CC(=CNC1=O)C1=CC=NC=C1,DB01427,Blood Brain Barrier,+,0.9525
DB00376,301.4662,approved,Trihexyphenidyl,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,DB00376,Blood Brain Barrier,+,0.9523
DB00872,498.5744,approved,Conivaptan,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,DB00872,Blood Brain Barrier,+,0.9522
DB00240,408.916,approved,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,DB00240,Blood Brain Barrier,+,0.9518
DB04711,1139.7618,approved,Iodipamide,OC(=O)C1=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I,DB04711,Blood Brain Barrier,+,0.9516
DB00557,374.904,approved,Hydroxyzine,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00557,Blood Brain Barrier,+,0.9516
DB00889,312.417,approved,Granisetron,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2,DB00889,Blood Brain Barrier,+,0.9515
DB01091,317.4672,approved,Butenafine,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12,DB01091,Blood Brain Barrier,+,0.9514
DB00848,204.291,approved,Levamisole,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,DB00848,Blood Brain Barrier,+,0.9513
DB08882,472.5422,approved,Linagliptin,[H][C@@]1(N)CCCN(C1)C1=NC2=C(N1CC#CC)C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C,DB08882,Blood Brain Barrier,+,0.9513
DB00991,293.3166,approved,Oxaprozin,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,DB00991,Blood Brain Barrier,+,0.9512
DB00924,275.3874,approved,Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00924,Blood Brain Barrier,+,0.9512
DB00321,277.4033,approved,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,DB00321,Blood Brain Barrier,+,0.9512
DB00150,204.2252,approved,Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,DB00150,Blood Brain Barrier,+,0.951
DB00280,339.4745,approved,Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,DB00280,Blood Brain Barrier,+,0.9508
DB04221,326.6232,approved,Didecyldimethylammonium,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,DB04221,Blood Brain Barrier,+,0.9507
DB03128,146.2074,approved,Acetylcholine,CC(=O)OCC[N+](C)(C)C,DB03128,Blood Brain Barrier,+,0.9506
DB00599,242.338,approved,Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,DB00599,Blood Brain Barrier,+,0.9505
DB01148,391.4596,approved,Flavoxate,CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1=CC=CC=C1,DB01148,Blood Brain Barrier,+,0.9505
DB00647,339.4712,approved,Dextropropoxyphene,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,DB00647,Blood Brain Barrier,+,0.9503
DB00292,244.289,approved,Etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,DB00292,Blood Brain Barrier,+,0.95
DB01239,315.86,approved,Chlorprothixene,CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12,DB01239,Blood Brain Barrier,+,0.95
DB01089,578.6527,approved,Deserpidine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2,DB01089,Blood Brain Barrier,+,0.9496
DB00350,209.2483,approved,Minoxidil,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,DB00350,Blood Brain Barrier,+,0.9496
DB00366,270.3694,approved,Doxylamine,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,DB00366,Blood Brain Barrier,+,0.9491
DB01218,500.424,approved,Halofantrine,CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,DB01218,Blood Brain Barrier,+,0.949
DB01351,226.2722,approved,Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,DB01351,Blood Brain Barrier,+,0.949
DB03796,256.4241,approved,Palmitic Acid,CCCCCCCCCCCCCCCC(O)=O,DB03796,Blood Brain Barrier,+,0.9488
DB03193,284.4772,approved,Stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,DB03193,Blood Brain Barrier,+,0.9488
DB03017,200.3178,approved,Lauric acid,CCCCCCCCCCCC(O)=O,DB03017,Blood Brain Barrier,+,0.9488
DB01275,160.1759,approved,Hydralazine,NNC1=NN=CC2=CC=CC=C12,DB01275,Blood Brain Barrier,+,0.9487
DB06698,136.1943,approved,Betahistine,CNCCC1=CC=CC=N1,DB06698,Blood Brain Barrier,+,0.9485
DB00959,374.4706,approved,Methylprednisolone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,DB00959,Blood Brain Barrier,+,0.9484
DB01158,243.163,approved,Bretylium,CC[N+](C)(C)CC1=CC=CC=C1Br,DB01158,Blood Brain Barrier,+,0.9484
DB04575,364.5204,approved,Quinestrol,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3,DB04575,Blood Brain Barrier,+,0.9483
DB01616,281.4351,approved,Alverine,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1,DB01616,Blood Brain Barrier,+,0.9482
DB00720,244.892,approved,Clodronic acid,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,DB00720,Blood Brain Barrier,+,0.9481
DB04571,228.2433,approved,Trioxsalen,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,DB04571,Blood Brain Barrier,+,0.948
DB00457,383.4011,approved,Prazosin,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,DB00457,Blood Brain Barrier,+,0.9479
DB00347,143.1406,approved,Trimethadione,CN1C(=O)OC(C)(C)C1=O,DB00347,Blood Brain Barrier,+,0.9479
DB00540,263.3767,approved,Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,DB00540,Blood Brain Barrier,+,0.9478
DB00609,166.243,approved,Ethionamide,CCC1=NC=CC(=C1)C(N)=S,DB00609,Blood Brain Barrier,+,0.9476
DB04837,289.8,approved,Clofedanol,CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl,DB04837,Blood Brain Barrier,+,0.9474
DB00730,201.248,approved,Thiabendazole,N1C2=CC=CC=C2N=C1C1=CSC=N1,DB00730,Blood Brain Barrier,+,0.9473
DB01063,411.56,approved,Acetophenazine,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,DB01063,Blood Brain Barrier,+,0.9469
DB00515,300.05,approved,Cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],DB00515,Blood Brain Barrier,+,0.9469
DB06729,314.362,approved,Sulfaphenazole,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,DB06729,Blood Brain Barrier,+,0.9466
DB00987,243.2166,approved,Cytarabine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,DB00987,Blood Brain Barrier,+,0.9465
DB00502,375.864,approved,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,DB00502,Blood Brain Barrier,+,0.9465
DB01226,1029.2608,approved,Mivacurium,COC1=CC(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,DB01226,Blood Brain Barrier,+,0.9465
DB01357,310.4299,approved,Mestranol,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,DB01357,Blood Brain Barrier,+,0.9465
DB00611,327.4605,approved,Butorphanol,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1,DB00611,Blood Brain Barrier,+,0.9463
DB06228,435.881,approved,Rivaroxaban,[H][C@]1(CNC(=O)C2=CC=C(Cl)S2)CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,DB06228,Blood Brain Barrier,+,0.9462
DB01621,475.667,approved,Pipotiazine,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,DB01621,Blood Brain Barrier,+,0.9461
DB06147,255.317,approved,Sulfathiazole,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,DB06147,Blood Brain Barrier,+,0.946
DB00367,312.4458,approved,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00367,Blood Brain Barrier,+,0.9453
DB00358,378.3122,approved,Mefloquine,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,DB00358,Blood Brain Barrier,+,0.9445
DB00391,341.426,approved,Sulpiride,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,DB00391,Blood Brain Barrier,+,0.9444
DB01255,263.3785,approved,Lisdexamfetamine,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN,DB01255,Blood Brain Barrier,+,0.9444
DB01245,258.4863,approved,Decamethonium,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,DB01245,Blood Brain Barrier,+,0.9444
DB08901,532.5595,approved,Ponatinib,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,DB08901,Blood Brain Barrier,+,0.9444
DB01070,398.6642,approved,Dihydrotachysterol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)CC[C@@H]1C,DB01070,Blood Brain Barrier,+,0.9443
DB06288,369.479,approved,Amisulpride,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,DB06288,Blood Brain Barrier,+,0.9441
DB01410,540.697,approved,Ciclesonide,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,DB01410,Blood Brain Barrier,+,0.9439
DB05245,357.137,approved,Silver sulfadiazine,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1,DB05245,Blood Brain Barrier,+,0.9438
DB01261,407.3136,approved,Sitagliptin,N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F,DB01261,Blood Brain Barrier,+,0.9438
DB00294,324.4565,approved,Etonogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00294,Blood Brain Barrier,+,0.9437
DB01623,443.625,approved,Thiothixene,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1,DB01623,Blood Brain Barrier,+,0.9437
DB06713,327.468,approved,Norelgestromin,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@@]21[H])=NO,DB06713,Blood Brain Barrier,+,0.9436
DB00426,321.3318,approved,Famciclovir,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,DB00426,Blood Brain Barrier,+,0.9429
DB00153,396.6484,approved,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DB00153,Blood Brain Barrier,+,0.9428
DB00641,418.5662,approved,Simvastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,DB00641,Blood Brain Barrier,+,0.9422
DB01135,1035.2223,approved,Doxacurium,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,DB01135,Blood Brain Barrier,+,0.9419
DB01062,357.4864,approved,Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB01062,Blood Brain Barrier,+,0.9418
DB00209,392.518,approved,Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,DB00209,Blood Brain Barrier,+,0.9418
DB00717,298.4192,approved,Norethisterone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00717,Blood Brain Barrier,+,0.9413
DB00940,340.436,approved,Methantheline,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12,DB00940,Blood Brain Barrier,+,0.9411
DB03766,74.0785,approved,Propanoic acid,[H]CCC(O)=O,DB03766,Blood Brain Barrier,+,0.941
DB00825,156.269,approved,Levomenthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,DB00825,Blood Brain Barrier,+,0.9408
DB00953,269.3449,approved,Rizatriptan,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2,DB00953,Blood Brain Barrier,+,0.9406
DB00780,136.1943,approved,Phenelzine,NNCCC1=CC=CC=C1,DB00780,Blood Brain Barrier,+,0.9405
DB00757,324.38,approved,Dolasetron,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2,DB00757,Blood Brain Barrier,+,0.9403
DB01209,245.3599,approved,Dezocine,[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N,DB01209,Blood Brain Barrier,+,0.9403
DB00575,230.094,approved,Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,DB00575,Blood Brain Barrier,+,0.9402
DB00131,347.2212,approved,Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,DB00131,Blood Brain Barrier,+,0.9402
DB00119,88.0621,approved,Pyruvic acid,CC(=O)C(O)=O,DB00119,Blood Brain Barrier,+,0.9401
DB00714,267.3224,approved,Apomorphine,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,DB00714,Blood Brain Barrier,+,0.9401
DB00921,467.6401,approved,Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,DB00921,Blood Brain Barrier,+,0.9401
